county,population,sdi_score,fpl_100_score,sing_parent_fam_score,black_score,dropout_score,no_car_score,rent_occup_score,crowding_score,nonemp_score,unemp_score,highneeds_score,hisp_score,foreignb_score,lingisol_score,percnt_ltfpl100,percnt_singlparntfly,percnt_black,percnt_dropout,percnt_hhnocar,percnt_rentoccup,percnt_crowding,percnt_nonemp,percnt_unemp,percnt_highneeds,percnt_hispanic,percnt_frgnborn,percnt_lingisol
6013,1096068,37,20,28,53,40,35,51,80,61,61,23,75,85,77,0.10852358,0.15468846,0.085803069,0.11072674,0.058739726,0.35351467,0.046455704,0.08913213,0.07852684,0.39172935,0.24939147,0.23942493,0.069859043
6015,27788,90,90,90,25,86,71,66,72,91,91,1,67,33,41,0.21790257,0.22910959,0.028321577,0.20043941,0.087685771,0.39447984,0.038216561,0.11916016,0.096045196,0.34903556,0.19072981,0.058658414,0.023779193
6017,182093,14,19,2,9,14,19,16,41,89,89,6,55,50,35,0.10437834,0.10178956,0.008589018,0.076937996,0.04832603,0.25675997,0.020958174,0.11220331,0.10961169,0.37827924,0.12476592,0.094319932,0.019169424
6019,956749,100,97,97,34,97,73,87,95,97,97,52,96,79,88,0.26841652,0.2612977,0.04746177,0.26454857,0.089590117,0.47191575,0.096566036,0.13503952,0.11708849,0.40184101,0.51641238,0.21400283,0.099505574
6021,28029,87,88,66,9,97,53,62,74,95,95,32,88,71,85,0.20752321,0.20116886,0.008598237,0.24960841,0.070969783,0.38348952,0.041170895,0.12860388,0.12829898,0.39687467,0.39580435,0.17938563,0.087922499
6023,135034,78,89,75,12,32,65,83,74,87,87,65,51,33,32,0.21390317,0.21326767,0.011382318,0.1023569,0.080605626,0.45078814,0.040934458,0.10927361,0.10149352,0.40700862,0.10581779,0.057548471,0.017384417
6025,178206,99,94,82,23,100,68,80,95,100,100,25,100,93,99,0.2398001,0.21745554,0.025420019,0.33656561,0.083677776,0.44508308,0.097563073,0.17715679,0.17015256,0.39295533,0.81846291,0.32578588,0.21344614
6027,18373,46,24,72,11,51,61,53,32,24,24,91,70,53,45,0.11366963,0.2082019,0.010450117,0.1237534,0.076787733,0.35779816,0.018222949,0.067503549,0.052818757,0.42486256,0.20562783,0.10123551,0.026140505
6029,865736,98,93,93,39,98,53,79,93,94,94,10,95,74,85,0.23464061,0.2407686,0.053200975,0.26581839,0.071282245,0.43348095,0.091116674,0.12831229,0.11658281,0.3831653,0.50996608,0.20342806,0.087770507
6031,150998,99,91,94,41,98,50,91,94,96,96,1,97,72,87,0.22606131,0.24617895,0.058828592,0.27800092,0.068152286,0.48589787,0.091447271,0.1335185,0.11706859,0.35711068,0.52617913,0.18607531,0.093565002
6033,64158,87,95,91,20,73,59,57,66,99,99,77,66,49,38,0.24653831,0.23417997,0.021150909,0.15600607,0.07598266,0.36968845,0.032934465,0.14804199,0.13263468,0.41193616,0.18546401,0.08976277,0.021338865
6035,32645,55,55,26,53,86,35,48,48,84,84,1,66,36,19,0.16351537,0.15289843,0.084484607,0.20050293,0.058514476,0.34943855,0.024003297,0.10800125,0.10923567,0.26827997,0.18336652,0.065860011,0.010095807
